frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_text
426,199.0,"[214.16559945966986, 449.49252291327724, 371.85306480693106, 672.6925150182294]","[220.96575927734375, 537.5438232421875, 271.9057922363281, 568.3965454101562]","59-Y4
055.07"
427,149.0,"[772.9425840007393, 631.2774158001411, 1020.7487069658446, 1013.195488300552]","[842.97216796875, 749.1165161132812, 941.7599487304688, 811.9641723632812]","59-Y3
305.99"
427,199.0,"[240.69583687367572, 446.8356194995442, 396.17790375259403, 666.2880644716809]","[251.98329162597656, 532.51416015625, 300.262939453125, 561.72509765625]","59-Y4
705.50"
428,149.0,"[781.890277666616, 623.7905540707575, 1034.2794086780161, 1005.7255160025304]","[853.452392578125, 745.4187622070312, 954.7452392578125, 807.5958251953125]","59-V3
305.99"
428,199.0,"[263.87155662020456, 446.7974839654554, 418.3742201048971, 662.0312592349381]","[280.3131103515625, 531.487548828125, 321.11181640625, 559.397705078125]",59YA40550Y
429,149.0,"[793.7422822435894, 620.974176600663, 1046.0806142006193, 1002.6867467769118]","[862.9351806640625, 742.098876953125, 961.550048828125, 806.6837768554688]","59-V3
305.99"
429,199.0,"[284.5683150635785, 445.115990403666, 435.5653114469912, 659.0195895450029]","[291.6112060546875, 531.3115234375, 336.7171325683594, 558.634765625]",59YA470550
430,149.0,"[806.0130683371931, 621.6140975034617, 1054.989959976804, 1002.4740383065918]","[867.812255859375, 744.92333984375, 965.5543212890625, 806.2215576171875]","59-V3
305.99"
430,199.0,"[296.9112855976898, 441.04197994752724, 449.95446252812553, 656.6546069005061]","[307.0794677734375, 532.3734741210938, 356.6554870605469, 562.9779052734375]","59-EY
4550"
431,149.0,"[812.8110692932867, 620.0920073171413, 1059.52112449976, 1000.2116456442365]","[874.2608642578125, 741.8978271484375, 973.8753662109375, 803.9400634765625]","59-V3
305.99"
431,199.0,"[313.13174562154836, 443.5170063735253, 465.82872365460946, 656.7279488988389]","[322.4546813964844, 529.176513671875, 370.5867004394531, 559.1180419921875]","9Y-E7
0550"
432,149.0,"[816.6745856218665, 620.0371695408344, 1062.2051940740052, 997.0361957785003]","[879.0230712890625, 734.1712646484375, 979.283203125, 797.9736328125]","59-V3
305.99"
432,199.0,"[324.44207631078837, 439.16855682248513, 475.4541825854059, 652.1851145198035]","[337.93707275390625, 525.022216796875, 385.5804748535156, 554.79150390625]","94-H0
5501"
433,204.0,"[29.810246420552573, 462.45507060085566, 353.9664520897192, 965.7280672263073]","[35.31892776489258, 688.328369140625, 127.81698608398438, 755.3582763671875]","59-TA
061.81"
433,149.0,"[819.4089395636007, 621.0661968573307, 1062.9379981562465, 993.8224839955777]","[880.86279296875, 730.7012329101562, 980.3028564453125, 795.1673583984375]","59-V3
305.99"
433,199.0,"[333.2369923581072, 433.5804171747344, 484.7604556107921, 646.5992880574703]","[347.525634765625, 518.8123779296875, 397.7216796875, 552.2418212890625]","59-E7
0501"
434,204.0,"[47.17382875003091, 469.04949816029455, 375.6857589612252, 962.1089054110092]","[56.3001823425293, 683.5958251953125, 149.17706298828125, 749.630615234375]","59-TA
061.81"
434,149.0,"[822.1003218360227, 621.2838261356983, 1065.7139151760557, 990.0644021964945]","[885.9688110351562, 727.8232421875, 984.3515625, 791.2666015625]","59-V3
305.99"
435,204.0,"[59.20492216722525, 465.76184162377143, 394.9665066806707, 953.9181570783926]","[75.41862487792969, 681.669677734375, 166.95401000976562, 746.182373046875]","59-TA
061.81"
